Category,Product Name,Description,Price,Tags,Use Cases,Benefits,Image Hints
Clothing,Men's Performance T-Shirt,Moisture-wicking athletic shirt with anti-odor technology and UV protection.,$24.99,"activewear, men, athletic, polyester","Gym workouts, running, sports, outdoor activities","Breathable fabric, quick-dry, comfortable fit, odor control",blue athletic t-shirt on mannequin
Clothing,Women's Yoga Leggings,High-waisted compression leggings with pocket and four-way stretch fabric.,$39.99,"activewear, women, yoga, compression","Yoga, fitness classes, running, casual wear","Flexible movement, secure fit, pocket storage, flattering design",black leggings with side pocket detail
Clothing,Unisex Fleece Hoodie,Soft cotton-blend hoodie with kangaroo pocket and adjustable drawstring.,$44.99,"casual, hoodie, fleece, unisex","Casual wear, layering, outdoor activities, lounging","Warmth, comfort, versatile style, durable construction",gray hoodie with drawstring hood
Clothing,Winter Puffer Jacket,Insulated water-resistant jacket with removable hood and multiple pockets.,$129.99,"outerwear, winter, insulated, jacket","Cold weather, outdoor winter activities, daily commute","Warmth retention, weather protection, lightweight insulation, functional pockets",black puffer jacket with hood
Clothing,Classic Denim Jeans,Premium stretch denim jeans with reinforced stitching and five-pocket design.,$59.99,"denim, jeans, casual, cotton-blend","Everyday wear, casual outings, versatile wardrobe staple","Durable fabric, comfortable stretch, timeless style, quality construction",blue denim jeans folded on surface
Luggage,Hard Shell Carry-On Spinner,TSA-approved 20-inch luggage with 360-degree spinner wheels and combination lock.,$99.99,"carry-on, travel, spinner, hardshell","Air travel, weekend trips, business travel","Durable protection, smooth rolling, lightweight, secure locking",navy blue hardshell suitcase with four wheels
Luggage,Travel Backpack 40L,Water-resistant travel backpack with laptop compartment and USB charging port.,$79.99,"backpack, travel, laptop, water-resistant","International travel, daily commute, hiking, student use","Versatile storage, tech-friendly, comfortable straps, organized compartments",black travel backpack with multiple pockets
Luggage,Rolling Duffel Bag,Heavy-duty wheeled duffel with telescoping handle and multiple storage pockets.,$89.99,"duffel, wheeled, travel, heavy-duty","Sports trips, gym use, long trips, equipment transport","Large capacity, easy transport, durable materials, flexible storage",black rolling duffel bag with extended handle
Luggage,Packing Cubes Set of 4,Compression packing organizers in various sizes with mesh top and durable zippers.,$29.99,"organizer, packing, travel-accessory, compression","Luggage organization, efficient packing, travel preparation","Space-saving, organized packing, easy visibility, lightweight",colorful packing cubes in different sizes
Luggage,Checked Luggage 28-inch,Expandable hard-side suitcase with reinforced corners and interior dividers.,$149.99,"checked-bag, large, expandable, hardside","Extended trips, family vacations, long-term travel","Maximum capacity, expandable design, damage protection, organized interior",silver large suitcase standing upright
Cleaning,Cordless Vacuum Cleaner,Lightweight stick vacuum with HEPA filtration and 40-minute runtime.,$249.99,"vacuum, cordless, HEPA, cleaning","Floor cleaning, quick cleanups, pet hair removal, allergy control","Powerful suction, versatile use, easy storage, allergen filtration",red cordless vacuum standing upright
Cleaning,Microfiber Cleaning Cloths 24-Pack,Reusable lint-free cloths for streak-free cleaning on all surfaces.,$19.99,"microfiber, cleaning-cloth, reusable, lint-free","Household cleaning, car detailing, glass cleaning, dusting","Streak-free results, reusable, chemical-free cleaning, multi-surface use",stack of colorful microfiber cloths
Cleaning,Steam Mop with Attachments,Multi-surface steam cleaner with washable pads and adjustable steam settings.,$79.99,"steam-mop, floor-cleaner, sanitizing, chemical-free","Floor sanitizing, grout cleaning, hard floor maintenance","Chemical-free cleaning, kills bacteria, versatile attachments, quick heat-up",white steam mop on hardwood floor
Cleaning,Robot Vacuum with Mapping,"Smart robot vacuum with app control, virtual boundaries, and auto-charging.",$299.99,"robot-vacuum, smart, automated, Wi-Fi","Automated cleaning, scheduled maintenance, pet hair collection","Hands-free operation, intelligent navigation, scheduled cleaning, app control",black circular robot vacuum on floor
Cleaning,All-Purpose Cleaning Spray Set,Eco-friendly cleaning solution bundle with reusable spray bottles.,$24.99,"cleaning-solution, eco-friendly, spray, multi-surface","Kitchen cleaning, bathroom sanitizing, general household cleaning","Non-toxic formula, effective cleaning, pleasant scent, environmentally safe",three spray bottles with cleaning solutions
